	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.8695	0.7312	-0.4096	0.6772	0.6537	0.7436	-0.0803	-0.2677	0.3357	-0.245	0.2352	0.1386	0.0322	-0.583	0.4937	0.177	0.2974	0.0578	0.0626
gs	0.8695	1	0.8931	-0.69	0.6661	0.6949	0.7887	-0.048	-0.1951	0.379	-0.1691	0.1506	0.0255	0.1203	-0.533	0.3933	0.0963	0.3957	-0.0016	0.1157
E	0.7312	0.8931	1	-0.7098	0.5884	0.6804	0.7872	0.0553	-0.0849	0.4607	0.0507	0.2292	0.1974	0.0174	-0.4503	0.4495	0.0714	0.2714	-0.2137	0.3163
WUEi	-0.4096	-0.69	-0.7098	1	-0.5459	-0.7036	-0.5302	-0.0139	-0.0162	-0.3423	-0.0078	0.0411	0.0946	-0.1221	0.3354	-0.2618	0.0973	-0.4391	0.2326	-0.2813
Ymd	0.6772	0.6661	0.5884	-0.5459	1	0.7992	0.768	-0.2992	-0.6135	0.4411	-0.2612	0.527	0.1607	0.266	0.4813	-0.3893	-0.0904	-0.412	-0.1597	-0.0634
Ypd	0.6537	0.6949	0.6804	-0.7036	0.7992	1	0.6054	-0.1876	-0.0157	0.4502	-0.1329	-0.0535	0.2043	-0.2766	0.1096	0.6331	-0.4028	0.2979	0.3474	-0.0526
Kroot	0.7436	0.7887	0.7872	-0.5302	0.768	0.6054	1	-0.1151	-0.4822	0.4467	-0.0771	0.5106	0.1777	0.2561	-0.3711	0.3793	0.1475	-0.1066	-0.7099	0.5615
Kplant	-0.0803	-0.048	0.0553	-0.0139	-0.2992	-0.1876	-0.1151	1	0.2514	-0.0373	-0.0246	0.0808	-0.1292	0.2721	-0.1811	0.2376	-0.0108	0.1868	-0.5225	0.6932
DifY	-0.2677	-0.1951	-0.0849	-0.0162	-0.6135	-0.0157	-0.4822	0.2514	1	-0.1423	0.2599	-0.5137	-0.1253	-0.2948	-0.4335	0.4485	0.0013	0.4381	0.2168	0.0475
Hojas	0.3357	0.379	0.4607	-0.3423	0.4411	0.4502	0.4467	-0.0373	-0.1423	1	0.1885	0.4522	0.166	0.1961	0.731	0.548	-0.6091	0.2475	0.5441	-0.0452
Afoliar	-0.245	-0.1691	0.0507	-0.0078	-0.2612	-0.1329	-0.0771	-0.0246	0.2599	0.1885	1	0.5194	0.5149	-0.1909	0.9187	0.2777	-0.5563	0.1354	0.5199	-0.1542
BioPoda	0.2352	0.1506	0.2292	0.0411	0.527	-0.0535	0.5106	0.0808	-0.5137	0.4522	0.5194	1	0.4394	0.332	0.8201	0.2645	-0.4752	-0.2678	0.3553	0.1157
BioRaiz	0.1386	0.0255	0.1974	0.0946	0.1607	0.2043	0.1777	-0.1292	-0.1253	0.166	0.5149	0.4394	1	-0.6371	0.8157	0.2289	-0.7243	0.0515	-0.0107	0.4264
CoBio	0.0322	0.1203	0.0174	-0.1221	0.266	-0.2766	0.2561	0.2721	-0.2948	0.1961	-0.1909	0.332	-0.6371	1	-0.4872	-0.0471	0.5836	-0.2193	0.1303	-0.314
TDxil	-0.583	-0.533	-0.4503	0.3354	0.4813	0.1096	-0.3711	-0.1811	-0.4335	0.731	0.9187	0.8201	0.8157	-0.4872	1	-0.0315	-0.7589	-0.1364	-0.1922	0.4821
TDenXil	0.4937	0.3933	0.4495	-0.2618	-0.3893	0.6331	0.3793	0.2376	0.4485	0.548	0.2777	0.2645	0.2289	-0.0471	-0.0315	1	0.1457	-0.3749	0.4579	0.5511
RDxil	0.177	0.0963	0.0714	0.0973	-0.0904	-0.4028	0.1475	-0.0108	0.0013	-0.6091	-0.5563	-0.4752	-0.7243	0.5836	-0.7589	0.1457	1	-0.533	0.196	-0.2177
RDenXil	0.2974	0.3957	0.2714	-0.4391	-0.412	0.2979	-0.1066	0.1868	0.4381	0.2475	0.1354	-0.2678	0.0515	-0.2193	-0.1364	-0.3749	-0.533	1	-0.0181	-0.2876
EstDen	0.0578	-0.0016	-0.2137	0.2326	-0.1597	0.3474	-0.7099	-0.5225	0.2168	0.5441	0.5199	0.3553	-0.0107	0.1303	-0.1922	0.4579	0.196	-0.0181	1	-0.5246
EstSize	0.0626	0.1157	0.3163	-0.2813	-0.0634	-0.0526	0.5615	0.6932	0.0475	-0.0452	-0.1542	0.1157	0.4264	-0.314	0.4821	0.5511	-0.2177	-0.2876	-0.5246	1
