	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.9077	0.8076	-0.5051	0.7525	0.7254	0.7947	0.0043	-0.2355	0.5992	-0.5214	0.0709	0.0278	-0.0375	0.8569	-0.815	-0.187	0.0934	-0.3258	0.277
gs	0.9077	1	0.9117	-0.7328	0.7423	0.747	0.8124	0.1248	-0.1824	0.6627	-0.4667	0.2324	0.2218	-0.0238	0.6394	-0.5008	-0.0884	0.0655	-0.5855	0.4501
E	0.8076	0.9117	1	-0.7661	0.627	0.7092	0.7708	0.3827	-0.0299	0.6399	-0.3513	0.3646	0.2837	0.1186	0.3304	-0.2282	-0.0896	0.0099	-0.4307	0.3344
WUEi	-0.5051	-0.7328	-0.7661	1	-0.5942	-0.7189	-0.5652	-0.2756	-0.0458	-0.6008	0.3558	-0.3261	-0.3511	-0.0204	-0.1096	-0.1118	-0.0886	-0.0398	0.7511	-0.549
Ymd	0.7525	0.7423	0.627	-0.5942	1	0.84	0.8202	-0.168	-0.5095	0.679	-0.674	0.4979	0.2675	0.3388	0.5298	-0.4922	0.6114	-0.0512	-0.5407	0.6457
Ypd	0.7254	0.747	0.7092	-0.7189	0.84	1	0.6013	-0.0436	0.0389	0.6927	-0.508	-0.0504	0.1641	-0.1824	0.5928	-0.63	-0.2675	-0.2304	0.0425	0.0631
Kroot	0.7947	0.8124	0.7708	-0.5652	0.8202	0.6013	1	0.1173	-0.557	0.6256	-0.4987	0.6723	0.3467	0.4239	0.4762	-0.4245	0.5274	-0.092	-0.5502	0.7002
Kplant	0.0043	0.1248	0.3827	-0.2756	-0.168	-0.0436	0.1173	1	0.2403	0.1341	0.2486	0.1279	-0.1271	0.274	-0.3619	0.427	-0.0077	0.2772	-0.2135	-0.1934
DifY	-0.2355	-0.1824	-0.0299	-0.0458	-0.5095	0.0389	-0.557	0.2403	1	-0.152	0.4356	-0.5019	-0.2449	-0.3607	-0.389	0.3398	-0.7063	-0.0092	0.5721	-0.6525
Hojas	0.5992	0.6627	0.6399	-0.6008	0.679	0.6927	0.6256	0.1341	-0.152	1	-0.2264	0.5115	0.0202	0.5172	0.2183	-0.1396	0.1053	0.8474	-0.4792	-0.0364
Afoliar	-0.5214	-0.4667	-0.3513	0.3558	-0.674	-0.508	-0.4987	0.2486	0.4356	-0.2264	1	0.6326	0.4252	0.2951	0.0151	0.0831	-0.1109	0.8707	-0.3515	-0.2771
BioPoda	0.0709	0.2324	0.3646	-0.3261	0.4979	-0.0504	0.6723	0.1279	-0.5019	0.5115	0.6326	1	0.5316	0.6141	0.3954	-0.2988	0.4255	0.6156	-0.583	0.4982
BioRaiz	0.0278	0.2218	0.2837	-0.3511	0.2675	0.1641	0.3467	-0.1271	-0.2449	0.0202	0.4252	0.5316	1	-0.318	0.6052	-0.608	0.5243	0.346	-0.28	0.4974
CoBio	-0.0375	-0.0238	0.1186	-0.0204	0.3388	-0.1824	0.4239	0.274	-0.3607	0.5172	0.2951	0.6141	-0.318	1	-0.145	0.2948	0.0561	0.4335	-0.5664	0.2272
TDxil	0.8569	0.6394	0.3304	-0.1096	0.5298	0.5928	0.4762	-0.3619	-0.389	0.2183	0.0151	0.3954	0.6052	-0.145	1	-0.9561	-0.0366	0.4457	-0.3942	0.2658
TDenXil	-0.815	-0.5008	-0.2282	-0.1118	-0.4922	-0.63	-0.4245	0.427	0.3398	-0.1396	0.0831	-0.2988	-0.608	0.2948	-0.9561	1	0.0508	-0.3268	0.1335	-0.0966
RDxil	-0.187	-0.0884	-0.0896	-0.0886	0.6114	-0.2675	0.5274	-0.0077	-0.7063	0.1053	-0.1109	0.4255	0.5243	0.0561	-0.0366	0.0508	1	-0.1572	-0.2905	0.5852
RDenXil	0.0934	0.0655	0.0099	-0.0398	-0.0512	-0.2304	-0.092	0.2772	-0.0092	0.8474	0.8707	0.6156	0.346	0.4335	0.4457	-0.3268	-0.1572	1	-0.4695	-0.112
EstDen	-0.3258	-0.5855	-0.4307	0.7511	-0.5407	0.0425	-0.5502	-0.2135	0.5721	-0.4792	-0.3515	-0.583	-0.28	-0.5664	-0.3942	0.1335	-0.2905	-0.4695	1	-0.6924
EstSize	0.277	0.4501	0.3344	-0.549	0.6457	0.0631	0.7002	-0.1934	-0.6525	-0.0364	-0.2771	0.4982	0.4974	0.2272	0.2658	-0.0966	0.5852	-0.112	-0.6924	1
