	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.8594	0.7152	-0.3704	0.6421	0.6302	0.708	-0.0445	-0.231	0.354	-0.2617	0.1392	0.0814	-0.0039	0.1101	-0.1165	0.0117	0.1902	-0.0671	0.1901
gs	0.8594	1	0.8898	-0.6902	0.6606	0.6911	0.7758	-0.011	-0.1768	0.4293	-0.1809	0.1954	0.1077	0.0522	-0.0022	-0.0037	0.0285	0.2889	-0.2005	0.2277
E	0.7152	0.8898	1	-0.7169	0.5861	0.6715	0.7857	0.1002	-0.0735	0.5151	0.0469	0.293	0.2252	0.0598	-0.1724	0.2208	-0.0068	0.1487	-0.2095	0.3643
WUEi	-0.3704	-0.6902	-0.7169	1	-0.5759	-0.7089	-0.5374	-0.0323	0.0024	-0.3735	0.034	-0.1665	-0.1048	-0.0764	0.1061	-0.1647	0.0274	-0.3169	0.4211	-0.3491
Ymd	0.6421	0.6606	0.5861	-0.5759	1	0.8227	0.7641	-0.3029	-0.5861	0.4445	-0.2335	0.5134	0.2075	0.2998	0.5169	-0.4613	0.2846	-0.2016	-0.387	0.2523
Ypd	0.6302	0.6911	0.6715	-0.7089	0.8227	1	0.5773	-0.1919	-0.0215	0.45	-0.1409	-0.0429	0.1931	-0.2254	0.4998	-0.3747	-0.3	0.0407	0.1337	-0.0114
Kroot	0.708	0.7758	0.7857	-0.5374	0.7641	0.5773	1	-0.0742	-0.5209	0.4953	-0.0585	0.5942	0.2436	0.331	0.168	-0.1128	0.3207	-0.1225	-0.4749	0.6214
Kplant	-0.0445	-0.011	0.1002	-0.0323	-0.3029	-0.1919	-0.0742	1	0.2593	0.0109	-0.0102	0.1044	-0.1227	0.2744	-0.3791	0.4426	-0.0336	0.1662	-0.2908	0.3316
DifY	-0.231	-0.1768	-0.0735	0.0024	-0.5861	-0.0215	-0.5209	0.2593	1	-0.1403	0.2097	-0.5093	-0.1773	-0.3246	-0.4019	0.375	-0.3551	0.2097	0.4159	-0.2526
Hojas	0.354	0.4293	0.5151	-0.3735	0.4445	0.45	0.4953	0.0109	-0.1403	1	0.1917	0.4828	0.0997	0.3448	0.465	-0.1398	-0.2024	0.5116	-0.0807	-0.1426
Afoliar	-0.2617	-0.1809	0.0469	0.034	-0.2335	-0.1409	-0.0585	-0.0102	0.2097	0.1917	1	0.5722	0.4536	0.0348	0.3194	0.0236	-0.3289	0.4332	0.0487	-0.224
BioPoda	0.1392	0.1954	0.293	-0.1665	0.5134	-0.0429	0.5942	0.1044	-0.5093	0.4828	0.5722	1	0.4721	0.463	0.5889	-0.1723	-0.0105	0.1388	-0.1829	0.2124
BioRaiz	0.0814	0.1077	0.2252	-0.1048	0.2075	0.1931	0.2436	-0.1227	-0.1773	0.0997	0.4536	0.4721	1	-0.5094	0.6864	-0.2262	-0.3016	0.1555	-0.138	0.3542
CoBio	-0.0039	0.0522	0.0598	-0.0764	0.2998	-0.2254	0.331	0.2744	-0.3246	0.3448	0.0348	0.463	-0.5094	1	-0.2511	0.1196	0.3733	0.039	-0.2127	-0.1272
TDxil	0.1101	-0.0022	-0.1724	0.1061	0.5169	0.4998	0.168	-0.3791	-0.4019	0.465	0.3194	0.5889	0.6864	-0.2511	1	-0.6934	-0.3073	0.2192	-0.3497	0.151
TDenXil	-0.1165	-0.0037	0.2208	-0.1647	-0.4613	-0.3747	-0.1128	0.4426	0.375	-0.1398	0.0236	-0.1723	-0.2262	0.1196	-0.6934	1	0.061	-0.3942	0.2798	0.3025
RDxil	0.0117	0.0285	-0.0068	0.0274	0.2846	-0.3	0.3207	-0.0336	-0.3551	-0.2024	-0.3289	-0.0105	-0.3016	0.3733	-0.3073	0.061	1	-0.3664	-0.0512	0.0807
RDenXil	0.1902	0.2889	0.1487	-0.3169	-0.2016	0.0407	-0.1225	0.1662	0.2097	0.5116	0.4332	0.1388	0.1555	0.039	0.2192	-0.3942	-0.3664	1	-0.2282	-0.2657
EstDen	-0.0671	-0.2005	-0.2095	0.4211	-0.387	0.1337	-0.4749	-0.2908	0.4159	-0.0807	0.0487	-0.1829	-0.138	-0.2127	-0.3497	0.2798	-0.0512	-0.2282	1	-0.473
EstSize	0.1901	0.2277	0.3643	-0.3491	0.2523	-0.0114	0.6214	0.3316	-0.2526	-0.1426	-0.224	0.2124	0.3542	-0.1272	0.151	0.3025	0.0807	-0.2657	-0.473	1
