	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.9194	0.8215	-0.482	0.8367	0.7464	0.8191	-0.0481	-0.3869	0.6377	-0.6112	0.0809	0.074	0.0096	-0.2593	0.1659	0.7703	-0.116	-0.1489	0.4575
gs	0.9194	1	0.9008	-0.7044	0.8267	0.7749	0.8205	0.0272	-0.3203	0.6235	-0.577	0.1863	0.0912	0.1186	-0.3672	0.2614	0.912	-0.0408	0.0201	0.2078
E	0.8215	0.9008	1	-0.7285	0.7193	0.754	0.7773	0.2825	-0.1468	0.5985	-0.4787	0.1257	0.2268	-0.011	-0.698	0.6286	0.7473	-0.4906	0.3362	0.1483
WUEi	-0.482	-0.7044	-0.7285	1	-0.6533	-0.7241	-0.508	-0.1526	0.0687	-0.5161	0.3946	-0.1674	-0.067	-0.1278	0.4421	-0.3354	-0.9496	0.0458	-0.1276	-0.0822
Ymd	0.8367	0.8267	0.7193	-0.6533	1	0.8563	0.7861	-0.191	-0.5214	0.7167	-0.6926	0.7621	0.4741	0.455	0.976	-0.9688	-0.3855	0.8254	-0.7913	0.23
Ypd	0.7464	0.7749	0.754	-0.7241	0.8563	1	0.5271	-0.1624	-0.0057	0.6951	-0.6035	-0.4514	-0.2598	-0.2352	-0.7804	0.7377	0.5711	-0.6906	0.4278	0.1624
Kroot	0.8191	0.8205	0.7773	-0.508	0.7861	0.5271	1	0.2037	-0.651	0.5729	-0.4243	0.7519	0.5565	0.3744	0.4201	-0.5041	0.4651	0.3929	-0.7334	0.7086
Kplant	-0.0481	0.0272	0.2825	-0.1526	-0.191	-0.1624	0.2037	1	0.1016	0.0296	0.3381	-0.0766	-0.2127	0.1411	-0.9844	0.9568	0.5489	-0.6737	0.8315	-0.3748
DifY	-0.3869	-0.3203	-0.1468	0.0687	-0.5214	-0.0057	-0.651	0.1016	1	-0.2392	0.3439	-0.7784	-0.4831	-0.4628	-0.9731	0.9645	0.3936	-0.824	0.7817	-0.2171
Hojas	0.6377	0.6235	0.5985	-0.5161	0.7167	0.6951	0.5729	0.0296	-0.2392	1	-0.2938	0.6028	0.1793	0.5616	0.7022	-0.7669	0.2622	0.9924	-0.5784	-0.0437
Afoliar	-0.6112	-0.577	-0.4787	0.3946	-0.6926	-0.6035	-0.4243	0.3381	0.3439	-0.2938	1	0.6413	0.586	0.186	0.9868	-0.9979	-0.2628	0.7755	-0.9385	0.4881
BioPoda	0.0809	0.1863	0.1257	-0.1674	0.7621	-0.4514	0.7519	-0.0766	-0.7784	0.6028	0.6413	1	0.5295	0.6527	0.9548	-0.9387	-0.4422	0.8072	-0.7304	0.155
BioRaiz	0.074	0.0912	0.2268	-0.067	0.4741	-0.2598	0.5565	-0.2127	-0.4831	0.1793	0.586	0.5295	1	-0.2712	0.755	-0.6781	-0.832	0.413	-0.4526	0.0484
CoBio	0.0096	0.1186	-0.011	-0.1278	0.455	-0.2352	0.3744	0.1411	-0.4628	0.5616	0.186	0.6527	-0.2712	1	0.5277	-0.6258	0.5623	0.8379	-0.5991	0.1796
TDxil	-0.2593	-0.3672	-0.698	0.4421	0.976	-0.7804	0.4201	-0.9844	-0.9731	0.7022	0.9868	0.9548	0.755	0.5277	1	-0.9927	-0.404	0.7402	-0.8988	0.4363
TDenXil	0.1659	0.2614	0.6286	-0.3354	-0.9688	0.7377	-0.5041	0.9568	0.9645	-0.7669	-0.9979	-0.9387	-0.6781	-0.6258	-0.9927	1	0.2906	-0.7924	0.9155	-0.4381
RDxil	0.7703	0.912	0.7473	-0.9496	-0.3855	0.5711	0.4651	0.5489	0.3936	0.2622	-0.2628	-0.4422	-0.832	0.5623	-0.404	0.2906	1	0.1569	0.2044	-0.1774
RDenXil	-0.116	-0.0408	-0.4906	0.0458	0.8254	-0.6906	0.3929	-0.6737	-0.824	0.9924	0.7755	0.8072	0.413	0.8379	0.7402	-0.7924	0.1569	1	-0.57	-0.0838
EstDen	-0.1489	0.0201	0.3362	-0.1276	-0.7913	0.4278	-0.7334	0.8315	0.7817	-0.5784	-0.9385	-0.7304	-0.4526	-0.5991	-0.8988	0.9155	0.2044	-0.57	1	-0.7542
EstSize	0.4575	0.2078	0.1483	-0.0822	0.23	0.1624	0.7086	-0.3748	-0.2171	-0.0437	0.4881	0.155	0.0484	0.1796	0.4363	-0.4381	-0.1774	-0.0838	-0.7542	1
