	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.8447	0.7244	-0.411	0.6432	0.6756	0.6931	0.0398	-0.0418	0.3395	-0.2516	-0.2619	-0.0052	-0.2485	-0.8356	0.9348	-0.1567	0.4577	-0.3568	0.776
gs	0.8447	1	0.9105	-0.7422	0.6903	0.7411	0.8294	0.0749	-0.0192	0.4256	-0.1904	-0.0572	0.0215	-0.0513	-0.8288	0.9304	-0.2238	0.5113	-0.2722	0.7214
E	0.7244	0.9105	1	-0.7642	0.622	0.7351	0.8105	0.1762	0.0904	0.5237	-0.0113	0.0622	0.1399	-0.0296	-0.8738	0.9585	-0.1406	0.3655	-0.4041	0.7946
WUEi	-0.411	-0.7422	-0.7642	1	-0.611	-0.7661	-0.6211	-0.1112	-0.1593	-0.4133	0.0785	-0.2894	-0.1008	-0.2205	0.8552	-0.9472	0.2613	-0.4796	0.2499	-0.7007
Ymd	0.6432	0.6903	0.622	-0.611	1	0.8247	0.7758	-0.2241	-0.426	0.4585	-0.343	0.3687	-0.0756	0.4277	0.478	-0.6571	-0.0586	-0.8025	0.3293	-0.7447
Ypd	0.6756	0.7411	0.7351	-0.7661	0.8247	1	0.6734	-0.0105	0.1604	0.4709	-0.1454	-0.3145	0.0305	-0.4281	-0.56	0.7263	-0.6734	0.7406	0.6761	-0.2266
Kroot	0.6931	0.8294	0.8105	-0.6211	0.7758	0.6734	1	-0.1025	-0.2768	0.5474	-0.22	0.3654	-0.0215	0.4134	-0.9979	0.9881	-0.0462	-0.1518	-0.5636	0.7496
Kplant	0.0398	0.0749	0.1762	-0.1112	-0.2241	-0.0105	-0.1025	1	0.3744	0.1437	-0.0167	0.0092	-0.3891	0.4544	-0.9402	0.9917	-0.0715	0.145	-0.5176	0.8209
DifY	-0.0418	-0.0192	0.0904	-0.1593	-0.426	0.1604	-0.2768	0.3744	1	-0.0469	0.366	-0.4191	0.0788	-0.4996	-0.4914	0.6686	-0.1684	0.8859	-0.0494	0.5292
Hojas	0.3395	0.4256	0.5237	-0.4133	0.4585	0.4709	0.5474	0.1437	-0.0469	1	0.1482	0.5094	0.3277	0.1376	0.6941	-0.8337	-0.4349	-0.1941	0.852	-0.994
Afoliar	-0.2516	-0.1904	-0.0113	0.0785	-0.343	-0.1454	-0.22	-0.0167	0.366	0.1482	1	0.4626	0.6996	-0.3693	0.8992	-0.9727	-0.5433	0.2045	0.9369	-0.8846
BioPoda	-0.2619	-0.0572	0.0622	-0.2894	0.3687	-0.3145	0.3654	0.0092	-0.4191	0.5094	0.4626	1	0.5806	0.3211	0.9442	-0.9932	0.4393	-0.3462	0.1147	-0.5685
BioRaiz	-0.0052	0.0215	0.1399	-0.1008	-0.0756	0.0305	-0.0215	-0.3891	0.0788	0.3277	0.6996	0.5806	1	-0.5492	0.991	-0.9385	0.1656	0.2837	0.454	-0.6174
CoBio	-0.2485	-0.0513	-0.0296	-0.2205	0.4277	-0.4281	0.4134	0.4544	-0.4996	0.1376	-0.3693	0.3211	-0.5492	1	-0.4197	0.2128	0.2956	-0.8221	-0.6019	0.3225
TDxil	-0.8356	-0.8288	-0.8738	0.8552	0.478	-0.56	-0.9979	-0.9402	-0.4914	0.6941	0.8992	0.9442	0.991	-0.4197	1	-0.9762	0.8345	-0.0263	0.2017	-0.5833
TDenXil	0.9348	0.9304	0.9585	-0.9472	-0.6571	0.7263	0.9881	0.9917	0.6686	-0.8337	-0.9727	-0.9932	-0.9385	0.2128	-0.9762	1	-0.6952	0.2425	-0.4093	0.7455
RDxil	-0.1567	-0.2238	-0.1406	0.2613	-0.0586	-0.6734	-0.0462	-0.0715	-0.1684	-0.4349	-0.5433	0.4393	0.1656	0.2956	0.8345	-0.6952	1	-0.0182	-0.7991	0.488
RDenXil	0.4577	0.5113	0.3655	-0.4796	-0.8025	0.7406	-0.1518	0.145	0.8859	-0.1941	0.2045	-0.3462	0.2837	-0.8221	-0.0263	0.2425	-0.0182	1	0.1013	0.2737
EstDen	-0.3568	-0.2722	-0.4041	0.2499	0.3293	0.6761	-0.5636	-0.5176	-0.0494	0.852	0.9369	0.1147	0.454	-0.6019	0.2017	-0.4093	-0.7991	0.1013	1	-0.8567
EstSize	0.776	0.7214	0.7946	-0.7007	-0.7447	-0.2266	0.7496	0.8209	0.5292	-0.994	-0.8846	-0.5685	-0.6174	0.3225	-0.5833	0.7455	0.488	0.2737	-0.8567	1
