	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.927	0.8515	-0.5684	0.7156	0.7537	0.8094	0.1099	-0.0417	0.5979	-0.4866	-0.2619	-0.0052	-0.2485	-0.8356	0.9348	-0.1567	0.4577	-0.3568	0.776
gs	0.927	1	0.928	-0.7551	0.7246	0.7851	0.8528	0.2383	-0.009	0.6451	-0.4225	-0.0572	0.0215	-0.0513	-0.8288	0.9304	-0.2238	0.5113	-0.2722	0.7214
E	0.8515	0.928	1	-0.7702	0.622	0.7683	0.7779	0.4688	0.1352	0.6655	-0.3198	0.0622	0.1399	-0.0296	-0.8738	0.9585	-0.1406	0.3655	-0.4041	0.7946
WUEi	-0.5684	-0.7551	-0.7702	1	-0.5995	-0.7936	-0.6216	-0.3649	-0.2107	-0.6503	0.2952	-0.2894	-0.1008	-0.2205	0.8552	-0.9472	0.2613	-0.4796	0.2499	-0.7007
Ymd	0.7156	0.7246	0.622	-0.5995	1	0.8043	0.8222	-0.0825	-0.4355	0.6956	-0.7275	0.3687	-0.0756	0.4277	0.478	-0.6571	-0.0586	-0.8025	0.3293	-0.7447
Ypd	0.7537	0.7851	0.7683	-0.7936	0.8043	1	0.7342	0.1895	0.1847	0.7868	-0.4524	-0.3145	0.0305	-0.4281	-0.56	0.7263	-0.6734	0.7406	0.6761	-0.2266
Kroot	0.8094	0.8528	0.7779	-0.6216	0.8222	0.7342	1	0.0187	-0.2477	0.626	-0.5599	0.3654	-0.0215	0.4134	-0.9979	0.9881	-0.0462	-0.1518	-0.5636	0.7496
Kplant	0.1099	0.2383	0.4688	-0.3649	-0.0825	0.1895	0.0187	1	0.4234	0.2806	0.1921	0.0092	-0.3891	0.4544	-0.9402	0.9917	-0.0715	0.145	-0.5176	0.8209
DifY	-0.0417	-0.009	0.1352	-0.2107	-0.4355	0.1847	-0.2477	0.4234	1	0.0414	0.5179	-0.4191	0.0788	-0.4996	-0.4914	0.6686	-0.1684	0.8859	-0.0494	0.5292
Hojas	0.5979	0.6451	0.6655	-0.6503	0.6956	0.7868	0.626	0.2806	0.0414	1	-0.2524	0.5094	0.3277	0.1376	0.6941	-0.8337	-0.4349	-0.1941	0.852	-0.994
Afoliar	-0.4866	-0.4225	-0.3198	0.2952	-0.7275	-0.4524	-0.5599	0.1921	0.5179	-0.2524	1	0.4626	0.6996	-0.3693	0.8992	-0.9727	-0.5433	0.2045	0.9369	-0.8846
BioPoda	-0.2619	-0.0572	0.0622	-0.2894	0.3687	-0.3145	0.3654	0.0092	-0.4191	0.5094	0.4626	1	0.5806	0.3211	0.9442	-0.9932	0.4393	-0.3462	0.1147	-0.5685
BioRaiz	-0.0052	0.0215	0.1399	-0.1008	-0.0756	0.0305	-0.0215	-0.3891	0.0788	0.3277	0.6996	0.5806	1	-0.5492	0.991	-0.9385	0.1656	0.2837	0.454	-0.6174
CoBio	-0.2485	-0.0513	-0.0296	-0.2205	0.4277	-0.4281	0.4134	0.4544	-0.4996	0.1376	-0.3693	0.3211	-0.5492	1	-0.4197	0.2128	0.2956	-0.8221	-0.6019	0.3225
TDxil	-0.8356	-0.8288	-0.8738	0.8552	0.478	-0.56	-0.9979	-0.9402	-0.4914	0.6941	0.8992	0.9442	0.991	-0.4197	1	-0.9762	0.8345	-0.0263	0.2017	-0.5833
TDenXil	0.9348	0.9304	0.9585	-0.9472	-0.6571	0.7263	0.9881	0.9917	0.6686	-0.8337	-0.9727	-0.9932	-0.9385	0.2128	-0.9762	1	-0.6952	0.2425	-0.4093	0.7455
RDxil	-0.1567	-0.2238	-0.1406	0.2613	-0.0586	-0.6734	-0.0462	-0.0715	-0.1684	-0.4349	-0.5433	0.4393	0.1656	0.2956	0.8345	-0.6952	1	-0.0182	-0.7991	0.488
RDenXil	0.4577	0.5113	0.3655	-0.4796	-0.8025	0.7406	-0.1518	0.145	0.8859	-0.1941	0.2045	-0.3462	0.2837	-0.8221	-0.0263	0.2425	-0.0182	1	0.1013	0.2737
EstDen	-0.3568	-0.2722	-0.4041	0.2499	0.3293	0.6761	-0.5636	-0.5176	-0.0494	0.852	0.9369	0.1147	0.454	-0.6019	0.2017	-0.4093	-0.7991	0.1013	1	-0.8567
EstSize	0.776	0.7214	0.7946	-0.7007	-0.7447	-0.2266	0.7496	0.8209	0.5292	-0.994	-0.8846	-0.5685	-0.6174	0.3225	-0.5833	0.7455	0.488	0.2737	-0.8567	1
