	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.8767	0.7159	-0.3447	0.5446	0.5483	0.7394	-0.0764	-0.2509	0.298	-0.1867	0.4163	0.3489	-0.1544	0.8681	-0.6756	-0.2745	-0.0945	-0.3471	0.7015
gs	0.8767	1	0.8727	-0.6313	0.5215	0.6054	0.7429	-0.0179	-0.1427	0.3647	-0.1768	0.3861	0.3791	-0.2261	0.8684	-0.5362	-0.6123	0.2648	-0.6436	0.7607
E	0.7159	0.8727	1	-0.6569	0.4456	0.5877	0.7503	0.0972	-0.0362	0.4651	0.0863	0.4493	0.3977	-0.1223	0.6854	-0.2677	-0.6178	0.2597	-0.5856	0.899
WUEi	-0.3447	-0.6313	-0.6569	1	-0.4304	-0.6691	-0.4533	-0.0126	-0.0883	-0.3184	0.0281	-0.1893	-0.336	0.3044	-0.589	0.1235	0.8656	-0.6087	0.8098	-0.7433
Ymd	0.5446	0.5215	0.4456	-0.4304	1	0.8098	0.7564	-0.3419	-0.7005	0.4257	-0.1887	0.5161	0.1022	0.3826	0.4257	-0.6539	0.5539	-0.7436	0.4186	0.1192
Ypd	0.5483	0.6054	0.5877	-0.6691	0.8098	1	0.562	-0.3172	-0.1486	0.4502	-0.0588	0.1523	0.569	-0.468	0.9778	-0.926	-0.3202	0.0623	-0.4694	0.3249
Kroot	0.7394	0.7429	0.7503	-0.4533	0.7564	0.562	1	-0.0746	-0.5914	0.4533	-0.1001	0.6836	0.2972	0.2217	0.5444	-0.4026	0.1147	-0.4936	0.0907	0.7746
Kplant	-0.0764	-0.0179	0.0972	-0.0126	-0.3419	-0.3172	-0.0746	1	0.1905	-0.0446	-0.0295	0.2589	0.0502	0.2144	-0.0155	0.3757	-0.8509	0.903	-0.7409	0.164
DifY	-0.2509	-0.1427	-0.0362	-0.0883	-0.7005	-0.1486	-0.5914	0.1905	1	-0.1699	0.2464	-0.4869	0.0077	-0.4732	-0.0451	0.3475	-0.828	0.9339	-0.7356	0.0121
Hojas	0.298	0.3647	0.4651	-0.3184	0.4257	0.4502	0.4533	-0.0446	-0.1699	1	0.1902	0.2217	-0.0809	0.2336	-0.124	0.327	-0.7385	0.9251	-0.6699	-0.2152
Afoliar	-0.1867	-0.1768	0.0863	0.0281	-0.1887	-0.0588	-0.1001	-0.0295	0.2464	0.1902	1	0.4631	0.4256	-0.0297	-0.4328	0.5591	-0.4949	0.7551	-0.3972	-0.3465
BioPoda	0.4163	0.3861	0.4493	-0.1893	0.5161	0.1523	0.6836	0.2589	-0.4869	0.2217	0.4631	1	0.5198	0.3296	-0.7798	0.9231	0.3128	-0.3035	0.5092	0.3046
BioRaiz	0.3489	0.3791	0.3977	-0.336	0.1022	0.569	0.2972	0.0502	0.0077	-0.0809	0.4256	0.5198	1	-0.5883	0.8055	-0.4473	-0.9026	0.6833	-0.9265	0.5209
CoBio	-0.1544	-0.2261	-0.1223	0.3044	0.3826	-0.468	0.2217	0.2144	-0.4732	0.2336	-0.0297	0.3296	-0.5883	1	-0.9503	0.7152	0.7536	-0.5294	0.8437	-0.3983
TDxil	0.8681	0.8684	0.6854	-0.589	0.4257	0.9778	0.5444	-0.0155	-0.0451	-0.124	-0.4328	-0.7798	0.8055	-0.9503	1	-0.873	-0.5117	0.2616	-0.6426	0.3587
TDenXil	-0.6756	-0.5362	-0.2677	0.1235	-0.6539	-0.926	-0.4026	0.3757	0.3475	0.327	0.5591	0.9231	-0.4473	0.7152	-0.873	1	0.1417	-0.0074	0.3387	0.0481
RDxil	-0.2745	-0.6123	-0.6178	0.8656	0.5539	-0.3202	0.1147	-0.8509	-0.828	-0.7385	-0.4949	0.3128	-0.9026	0.7536	-0.5117	0.1417	1	-0.9193	0.9767	-0.3119
RDenXil	-0.0945	0.2648	0.2597	-0.6087	-0.7436	0.0623	-0.4936	0.903	0.9339	0.9251	0.7551	-0.3035	0.6833	-0.5294	0.2616	-0.0074	-0.9193	1	-0.8995	-0.0548
EstDen	-0.3471	-0.6436	-0.5856	0.8098	0.4186	-0.4694	0.0907	-0.7409	-0.7356	-0.6699	-0.3972	0.5092	-0.9265	0.8437	-0.6426	0.3387	0.9767	-0.8995	1	-0.2182
EstSize	0.7015	0.7607	0.899	-0.7433	0.1192	0.3249	0.7746	0.164	0.0121	-0.2152	-0.3465	0.3046	0.5209	-0.3983	0.3587	0.0481	-0.3119	-0.0548	-0.2182	1
