	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.8791	0.7405	-0.4192	0.7358	0.6878	0.7359	-0.0939	-0.3957	0.453	-0.2472	0.1879	-0.1608	0.286	-0.0744	-0.7835	0.6666	0.8959	-0.9227	-0.4403
gs	0.8791	1	0.9069	-0.7003	0.7436	0.7283	0.7804	-0.0527	-0.3563	0.5378	-0.0991	0.1531	-0.3076	0.4222	-0.0414	-0.6612	0.555	0.7884	-0.9501	-0.4209
E	0.7405	0.9069	1	-0.7314	0.6599	0.6781	0.8052	0.0587	-0.2745	0.604	0.1459	0.4132	0.0764	0.3817	0.3004	-0.6135	0.8687	0.7956	-0.9539	-0.0641
WUEi	-0.4192	-0.7003	-0.7314	1	-0.6177	-0.6756	-0.5249	-0.0432	0.2035	-0.4062	-0.0315	-0.0879	0.2296	-0.3326	-0.1017	0.5276	-0.5491	-0.687	0.9783	0.2863
Ymd	0.7358	0.7436	0.6599	-0.6177	1	0.8281	0.7747	-0.333	-0.6777	0.4529	-0.1889	0.5998	0.3128	0.3543	0.8438	-0.0412	0.8625	0.2622	-0.5521	0.6584
Ypd	0.6878	0.7283	0.6781	-0.6756	0.8281	1	0.542	-0.2206	-0.1489	0.4725	-0.1715	0.1261	-0.0952	0.2481	0.3851	0.7543	-0.471	-0.6553	-0.0513	0.3605
Kroot	0.7359	0.7804	0.8052	-0.5249	0.7747	0.542	1	-0.1301	-0.6555	0.5058	0.1195	0.769	0.3023	0.5318	0.5676	-0.4338	0.9884	0.6267	-0.7324	0.3043
Kplant	-0.0939	-0.0527	0.0587	-0.0432	-0.333	-0.2206	-0.1301	1	0.298	-0.0249	-0.0496	0.2915	0.0516	0.2017	0.4326	-0.4051	0.8895	0.5025	-0.2835	0.3494
DifY	-0.3957	-0.3563	-0.2745	0.2035	-0.6777	-0.1489	-0.6555	0.298	1	-0.1791	0.1082	-0.5791	-0.3225	-0.3199	-0.7604	0.1611	-0.9159	-0.3605	0.5298	-0.5837
Hojas	0.453	0.5378	0.604	-0.4062	0.4529	0.4725	0.5058	-0.0249	-0.1791	1	0.2463	0.6102	0.0022	0.6128	0.9208	0.1652	0.6934	0.0875	-0.6193	0.705
Afoliar	-0.2472	-0.0991	0.1459	-0.0315	-0.1889	-0.1715	0.1195	-0.0496	0.1082	0.2463	1	0.8193	0.3282	0.5324	0.9709	0.2763	0.6464	-0.0379	-0.462	0.8201
BioPoda	0.1879	0.1531	0.4132	-0.0879	0.5998	0.1261	0.769	0.2915	-0.5791	0.6102	0.8193	1	0.4697	0.6303	0.9874	0.3954	0.5332	-0.1567	-0.4196	0.8516
BioRaiz	-0.1608	-0.3076	0.0764	0.2296	0.3128	-0.0952	0.3023	0.0516	-0.3225	0.0022	0.3282	0.4697	1	-0.3553	0.978	0.6537	0.2836	-0.4637	-0.077	0.977
CoBio	0.286	0.4222	0.3817	-0.3326	0.3543	0.2481	0.5318	0.2017	-0.3199	0.6128	0.5324	0.6303	-0.3553	1	0.1462	-0.5774	0.6529	0.7438	-0.9918	-0.2435
TDxil	-0.0744	-0.0414	0.3004	-0.1017	0.8438	0.3851	0.5676	0.4326	-0.7604	0.9208	0.9709	0.9874	0.978	0.1462	1	0.4953	0.457	-0.2756	-0.2716	0.9237
TDenXil	-0.7835	-0.6612	-0.6135	0.5276	-0.0412	0.7543	-0.4338	-0.4051	0.1611	0.1652	0.2763	0.3954	0.6537	-0.5774	0.4953	1	-0.54	-0.9664	0.4943	0.6973
RDxil	0.6666	0.555	0.8687	-0.5491	0.8625	-0.471	0.9884	0.8895	-0.9159	0.6934	0.6464	0.5332	0.2836	0.6529	0.457	-0.54	1	0.7044	-0.6904	0.2089
RDenXil	0.8959	0.7884	0.7956	-0.687	0.2622	-0.6553	0.6267	0.5025	-0.3605	0.0875	-0.0379	-0.1567	-0.4637	0.7438	-0.2756	-0.9664	0.7044	1	-0.6848	-0.5469
EstDen	-0.9227	-0.9501	-0.9539	0.9783	-0.5521	-0.0513	-0.7324	-0.2835	0.5298	-0.6193	-0.462	-0.4196	-0.077	-0.9918	-0.2716	0.4943	-0.6904	-0.6848	1	0.1175
EstSize	-0.4403	-0.4209	-0.0641	0.2863	0.6584	0.3605	0.3043	0.3494	-0.5837	0.705	0.8201	0.8516	0.977	-0.2435	0.9237	0.6973	0.2089	-0.5469	0.1175	1
