	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.9301	0.8458	-0.6219	0.7909	0.7567	0.8397	-0.0427	-0.2637	0.6668	-0.496	0.0856	-0.0194	-0.0117	-0.2653	-3e-04	0.3801	-0.2671	-0.1893	0.6582
gs	0.9301	1	0.9189	-0.7726	0.7793	0.7696	0.8444	0.0175	-0.2267	0.6897	-0.4863	0.1337	0.0443	-0.0217	-0.5018	0.123	0.2121	-0.1048	-0.496	0.74
E	0.8458	0.9189	1	-0.8158	0.671	0.7509	0.7902	0.2769	-0.0733	0.6468	-0.3542	0.3099	0.1729	0.0804	-0.6579	0.2401	0.5108	-0.283	-0.5297	0.7269
WUEi	-0.6219	-0.7726	-0.8158	1	-0.617	-0.7555	-0.6206	-0.2192	-0.0225	-0.6159	0.374	-0.1059	-0.0758	-0.0082	0.5594	-0.2138	-0.0525	-0.018	0.6769	-0.6357
Ymd	0.7909	0.7793	0.671	-0.617	1	0.7977	0.8345	-0.2224	-0.5532	0.7305	-0.6918	0.5434	0.0997	0.3818	0.0603	-0.3293	0.4899	-0.3025	0.5123	0.1317
Ypd	0.7567	0.7696	0.7509	-0.7555	0.7977	1	0.6589	-0.0653	0.0611	0.7109	-0.4387	-0.0442	0.2803	-0.333	-0.4205	0.7009	-0.1584	-0.0706	0.4821	0.2205
Kroot	0.8397	0.8444	0.7902	-0.6206	0.8345	0.6589	1	0.0094	-0.4711	0.6861	-0.5133	0.6624	0.1335	0.4218	-0.4432	-0.1415	0.8249	-0.4681	-0.0796	0.6687
Kplant	-0.0427	0.0175	0.2769	-0.2192	-0.2224	-0.0653	0.0094	1	0.2779	-0.055	0.2673	0.0054	-0.0892	0.1185	-0.4768	-0.0136	0.1864	0.2166	-0.6218	0.081
DifY	-0.2637	-0.2267	-0.0733	-0.0225	-0.5532	0.0611	-0.4711	0.2779	1	-0.2269	0.5389	-0.5346	-0.051	-0.4249	-0.1239	0.4278	-0.5184	0.274	-0.3648	-0.0674
Hojas	0.6668	0.6897	0.6468	-0.6159	0.7305	0.7109	0.6861	-0.055	-0.2269	1	-0.2956	0.497	0.1234	0.2667	0.7142	-0.1524	-0.5896	0.4987	0.436	-0.6704
Afoliar	-0.496	-0.4863	-0.3542	0.374	-0.6918	-0.4387	-0.5133	0.2673	0.5389	-0.2956	1	0.517	0.4438	-0.0725	0.6111	-0.0527	-0.6445	0.5471	0.3807	-0.6669
BioPoda	0.0856	0.1337	0.3099	-0.1059	0.5434	-0.0442	0.6624	0.0054	-0.5346	0.497	0.517	1	0.321	0.4931	0.7789	-0.2008	-0.2637	0.0982	0.7157	-0.589
BioRaiz	-0.0194	0.0443	0.1729	-0.0758	0.0997	0.2803	0.1335	-0.0892	-0.051	0.1234	0.4438	0.321	1	-0.6006	0.3171	0.0855	-0.4315	0.2432	0.4002	-0.0913
CoBio	-0.0117	-0.0217	0.0804	-0.0082	0.3818	-0.333	0.4218	0.1185	-0.4249	0.2667	-0.0725	0.4931	-0.6006	1	0.4925	-0.3482	0.1988	-0.1491	-0.103	-0.2797
TDxil	-0.2653	-0.5018	-0.6579	0.5594	0.0603	-0.4205	-0.4432	-0.4768	-0.1239	0.7142	0.6111	0.7789	0.3171	0.4925	1	-0.4495	-0.6186	0.3555	0.0927	-0.4484
TDenXil	-3e-04	0.123	0.2401	-0.2138	-0.3293	0.7009	-0.1415	-0.0136	0.4278	-0.1524	-0.0527	-0.2008	0.0855	-0.3482	-0.4495	1	0.2959	-0.6951	0.2281	0.223
RDxil	0.3801	0.2121	0.5108	-0.0525	0.4899	-0.1584	0.8249	0.1864	-0.5184	-0.5896	-0.6445	-0.2637	-0.4315	0.1988	-0.6186	0.2959	1	-0.7585	0.013	0.5123
RDenXil	-0.2671	-0.1048	-0.283	-0.018	-0.3025	-0.0706	-0.4681	0.2166	0.274	0.4987	0.5471	0.0982	0.2432	-0.1491	0.3555	-0.6951	-0.7585	1	-0.0968	-0.5728
EstDen	-0.1893	-0.496	-0.5297	0.6769	0.5123	0.4821	-0.0796	-0.6218	-0.3648	0.436	0.3807	0.7157	0.4002	-0.103	0.0927	0.2281	0.013	-0.0968	1	-0.441
EstSize	0.6582	0.74	0.7269	-0.6357	0.1317	0.2205	0.6687	0.081	-0.0674	-0.6704	-0.6669	-0.589	-0.0913	-0.2797	-0.4484	0.223	0.5123	-0.5728	-0.441	1
