	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.8406	0.6927	-0.2606	0.5922	0.5917	0.6716	0.0049	-0.2133	0.2961	-0.3342	0.0279	0.0106	0.0024	-0.0891	-0.0781	-0.1086	0.5769	0.2313	-0.4038
gs	0.8406	1	0.8862	-0.638	0.6143	0.6483	0.7754	0.0836	-0.1694	0.3774	-0.2423	0.0796	-0.0407	0.1254	-0.1374	0.0202	-5e-04	0.656	0.0635	-0.2402
E	0.6927	0.8862	1	-0.6617	0.5532	0.6306	0.8077	0.1965	-0.0824	0.5051	-0.0067	0.1563	0.1519	0.0389	-0.3784	0.2908	-0.2705	0.5621	0.1367	-0.024
WUEi	-0.2606	-0.638	-0.6617	1	-0.5346	-0.6583	-0.5073	-0.0693	0.0061	-0.3527	0.0038	-0.0989	0.0289	-0.1537	0.251	-0.2123	0.021	-0.6599	0.2002	-0.0355
Ymd	0.5922	0.6143	0.5532	-0.5346	1	0.844	0.7493	-0.2667	-0.5931	0.4458	-0.2337	0.4197	0.1378	0.2484	0.4492	-0.4514	0.3581	-0.3677	-0.6493	-0.1443
Ypd	0.5917	0.6483	0.6306	-0.6583	0.844	1	0.5583	-0.1718	-0.0687	0.4445	-0.1947	-0.1662	0.0172	-0.097	0.487	-0.5744	-0.3475	0.0688	0.2514	-0.7023
Kroot	0.6716	0.7754	0.8077	-0.5073	0.7493	0.5583	1	-0.0082	-0.5556	0.5038	-0.0834	0.4458	0.1577	0.2696	-0.2082	0.1075	0.0202	0.2845	-0.5705	0.0288
Kplant	0.0049	0.0836	0.1965	-0.0693	-0.2667	-0.1718	-0.0082	1	0.2382	0.0529	-0.0266	0.318	-0.1304	0.4184	-0.6713	0.8159	-0.2583	0.0228	0.1107	0.7272
DifY	-0.2133	-0.1694	-0.0824	0.0061	-0.5931	-0.0687	-0.5556	0.2382	1	-0.162	0.1424	-0.4316	-0.1331	-0.2553	-0.3131	0.2943	-0.4254	0.368	0.6808	-0.0298
Hojas	0.2961	0.3774	0.5051	-0.3527	0.4458	0.4445	0.5038	0.0529	-0.162	1	0.2292	0.3949	-0.1438	0.4499	0.0915	-0.01	0.5436	0.4828	-0.5942	0.2084
Afoliar	-0.3342	-0.2423	-0.0067	0.0038	-0.2337	-0.1947	-0.0834	-0.0266	0.1424	0.2292	1	0.4808	0.2259	0.1824	0.0104	0.2082	0.2605	0.0651	-0.4754	0.496
BioPoda	0.0279	0.0796	0.1563	-0.0989	0.4197	-0.1662	0.4458	0.318	-0.4316	0.3949	0.4808	1	0.3537	0.5616	0.1108	0.0171	0.4835	0.0105	-0.498	0.3596
BioRaiz	0.0106	-0.0407	0.1519	0.0289	0.1378	0.0172	0.1577	-0.1304	-0.1331	-0.1438	0.2259	0.3537	1	-0.5457	0.4785	-0.2743	0.0517	-0.4122	-0.0107	0.0783
CoBio	0.0024	0.1254	0.0389	-0.1537	0.2484	-0.097	0.2696	0.4184	-0.2553	0.4499	0.1824	0.5616	-0.5457	1	-0.3846	0.3225	0.5679	0.5325	-0.6604	0.3673
TDxil	-0.0891	-0.1374	-0.3784	0.251	0.4492	0.487	-0.2082	-0.6713	-0.3131	0.0915	0.0104	0.1108	0.4785	-0.3846	1	-0.8907	0.0093	-0.1432	-0.0829	-0.6238
TDenXil	-0.0781	0.0202	0.2908	-0.2123	-0.4514	-0.5744	0.1075	0.8159	0.2943	-0.01	0.2082	0.0171	-0.2743	0.3225	-0.8907	1	-0.1534	-0.1258	0.1982	0.88
RDxil	-0.1086	-5e-04	-0.2705	0.021	0.3581	-0.3475	0.0202	-0.2583	-0.4254	0.5436	0.2605	0.4835	0.0517	0.5679	0.0093	-0.1534	1	0.3001	-0.338	-0.0364
RDenXil	0.5769	0.656	0.5621	-0.6599	-0.3677	0.0688	0.2845	0.0228	0.368	0.4828	0.0651	0.0105	-0.4122	0.5325	-0.1432	-0.1258	0.3001	1	-0.2956	-0.3688
EstDen	0.2313	0.0635	0.1367	0.2002	-0.6493	0.2514	-0.5705	0.1107	0.6808	-0.5942	-0.4754	-0.498	-0.0107	-0.6604	-0.0829	0.1982	-0.338	-0.2956	1	0.0474
EstSize	-0.4038	-0.2402	-0.024	-0.0355	-0.1443	-0.7023	0.0288	0.7272	-0.0298	0.2084	0.496	0.3596	0.0783	0.3673	-0.6238	0.88	-0.0364	-0.3688	0.0474	1
