	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.9012	0.8044	-0.4282	0.7507	0.7189	0.8144	0.024	-0.2742	0.576	-0.6262	0.0279	0.0106	0.0024	-0.0891	-0.0781	-0.1086	0.5769	0.2313	-0.4038
gs	0.9012	1	0.9153	-0.6761	0.6973	0.7082	0.8298	0.1991	-0.1915	0.6044	-0.5159	0.0796	-0.0407	0.1254	-0.1374	0.0202	-5e-04	0.656	0.0635	-0.2402
E	0.8044	0.9153	1	-0.6944	0.5931	0.6708	0.7972	0.4477	-0.0563	0.5846	-0.4219	0.1563	0.1519	0.0389	-0.3784	0.2908	-0.2705	0.5621	0.1367	-0.024
WUEi	-0.4282	-0.6761	-0.6944	1	-0.4983	-0.6514	-0.5102	-0.2936	-0.0898	-0.5209	0.2235	-0.0989	0.0289	-0.1537	0.251	-0.2123	0.021	-0.6599	0.2002	-0.0355
Ymd	0.7507	0.6973	0.5931	-0.4983	1	0.8429	0.812	-0.1166	-0.5441	0.6543	-0.7394	0.4197	0.1378	0.2484	0.4492	-0.4514	0.3581	-0.3677	-0.6493	-0.1443
Ypd	0.7189	0.7082	0.6708	-0.6514	0.8429	1	0.6198	-0.0215	-0.0071	0.6927	-0.5961	-0.1662	0.0172	-0.097	0.487	-0.5744	-0.3475	0.0688	0.2514	-0.7023
Kroot	0.8144	0.8298	0.7972	-0.5102	0.812	0.6198	1	0.1681	-0.5426	0.5577	-0.5761	0.4458	0.1577	0.2696	-0.2082	0.1075	0.0202	0.2845	-0.5705	0.0288
Kplant	0.024	0.1991	0.4477	-0.2936	-0.1166	-0.0215	0.1681	1	0.1832	0.1788	0.2294	0.318	-0.1304	0.4184	-0.6713	0.8159	-0.2583	0.0228	0.1107	0.7272
DifY	-0.2742	-0.1915	-0.0563	-0.0898	-0.5441	-0.0071	-0.5426	0.1832	1	-0.1358	0.4446	-0.4316	-0.1331	-0.2553	-0.3131	0.2943	-0.4254	0.368	0.6808	-0.0298
Hojas	0.576	0.6044	0.5846	-0.5209	0.6543	0.6927	0.5577	0.1788	-0.1358	1	-0.2702	0.3949	-0.1438	0.4499	0.0915	-0.01	0.5436	0.4828	-0.5942	0.2084
Afoliar	-0.6262	-0.5159	-0.4219	0.2235	-0.7394	-0.5961	-0.5761	0.2294	0.4446	-0.2702	1	0.4808	0.2259	0.1824	0.0104	0.2082	0.2605	0.0651	-0.4754	0.496
BioPoda	0.0279	0.0796	0.1563	-0.0989	0.4197	-0.1662	0.4458	0.318	-0.4316	0.3949	0.4808	1	0.3537	0.5616	0.1108	0.0171	0.4835	0.0105	-0.498	0.3596
BioRaiz	0.0106	-0.0407	0.1519	0.0289	0.1378	0.0172	0.1577	-0.1304	-0.1331	-0.1438	0.2259	0.3537	1	-0.5457	0.4785	-0.2743	0.0517	-0.4122	-0.0107	0.0783
CoBio	0.0024	0.1254	0.0389	-0.1537	0.2484	-0.097	0.2696	0.4184	-0.2553	0.4499	0.1824	0.5616	-0.5457	1	-0.3846	0.3225	0.5679	0.5325	-0.6604	0.3673
TDxil	-0.0891	-0.1374	-0.3784	0.251	0.4492	0.487	-0.2082	-0.6713	-0.3131	0.0915	0.0104	0.1108	0.4785	-0.3846	1	-0.8907	0.0093	-0.1432	-0.0829	-0.6238
TDenXil	-0.0781	0.0202	0.2908	-0.2123	-0.4514	-0.5744	0.1075	0.8159	0.2943	-0.01	0.2082	0.0171	-0.2743	0.3225	-0.8907	1	-0.1534	-0.1258	0.1982	0.88
RDxil	-0.1086	-5e-04	-0.2705	0.021	0.3581	-0.3475	0.0202	-0.2583	-0.4254	0.5436	0.2605	0.4835	0.0517	0.5679	0.0093	-0.1534	1	0.3001	-0.338	-0.0364
RDenXil	0.5769	0.656	0.5621	-0.6599	-0.3677	0.0688	0.2845	0.0228	0.368	0.4828	0.0651	0.0105	-0.4122	0.5325	-0.1432	-0.1258	0.3001	1	-0.2956	-0.3688
EstDen	0.2313	0.0635	0.1367	0.2002	-0.6493	0.2514	-0.5705	0.1107	0.6808	-0.5942	-0.4754	-0.498	-0.0107	-0.6604	-0.0829	0.1982	-0.338	-0.2956	1	0.0474
EstSize	-0.4038	-0.2402	-0.024	-0.0355	-0.1443	-0.7023	0.0288	0.7272	-0.0298	0.2084	0.496	0.3596	0.0783	0.3673	-0.6238	0.88	-0.0364	-0.3688	0.0474	1
