	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.869	0.723	-0.327	0.609	0.584	0.717	0.547	-0.233	0.288	-0.298	0.233	0.064	0.203	-0.736	0.68	0.103	0.918	0.353	-0.224
gs	0.869	1	0.896	-0.634	0.635	0.64	0.793	0.638	-0.199	0.356	-0.24	0.211	-0.039	0.305	-0.653	0.699	0.057	0.885	0.43	-0.132
E	0.723	0.896	1	-0.665	0.569	0.633	0.805	0.764	-0.091	0.492	-0.004	0.147	0.167	0.056	-0.653	0.646	0.01	0.919	0.356	-0.21
WUEi	-0.327	-0.634	-0.665	1	-0.553	-0.662	-0.497	-0.458	0.021	-0.366	-0.019	-0.047	0.096	-0.216	0.482	-0.571	0.15	-0.886	-0.358	0.17
Ymd	0.609	0.635	0.569	-0.553	1	0.817	0.771	0.651	-0.542	0.48	-0.196	0.504	0.196	0.221	0.541	-0.757	-0.065	-0.774	-0.583	-0.065
Ypd	0.584	0.64	0.633	-0.662	0.817	1	0.575	0.48	0.041	0.459	-0.166	-0.274	-0.246	0.1	-0.61	0.35	-0.195	0.999	-0.017	-0.559
Kroot	0.717	0.793	0.805	-0.497	0.771	0.575	1	0.908	-0.498	0.512	-0.039	0.446	0.191	0.231	-0.738	0.262	-0.052	0.951	-0.198	-0.708
Kplant	0.547	0.638	0.764	-0.458	0.651	0.48	0.908	1	-0.43	0.589	0.345	0.587	0.27	0.274	0.168	-0.205	-0.829	0.667	-0.262	-0.506
DifY	-0.233	-0.199	-0.091	0.021	-0.542	0.041	-0.498	-0.43	1	-0.17	0.122	-0.241	-0.263	0.026	-0.554	0.738	0.047	0.801	0.548	0.02
Hojas	0.288	0.356	0.492	-0.366	0.48	0.459	0.512	0.589	-0.17	1	0.243	0.523	-0.089	0.542	0.404	0.196	-0.477	0.154	0.463	0.378
Afoliar	-0.298	-0.24	-0.004	-0.019	-0.196	-0.166	-0.039	0.345	0.122	0.243	1	0.484	0.129	0.266	0.934	-0.47	-0.689	-0.413	-0.034	0.29
BioPoda	0.233	0.211	0.147	-0.047	0.504	-0.274	0.446	0.587	-0.241	0.523	0.484	1	0.289	0.58	0.884	-0.526	-0.205	-0.914	-0.071	0.483
BioRaiz	0.064	-0.039	0.167	0.096	0.196	-0.246	0.191	0.27	-0.263	-0.089	0.129	0.289	1	-0.585	0.895	-0.615	-0.255	-0.902	-0.182	0.384
CoBio	0.203	0.305	0.056	-0.216	0.221	0.1	0.231	0.274	0.026	0.542	0.266	0.58	-0.585	1	-0.815	0.802	0.295	0.833	0.48	-0.088
TDxil	-0.736	-0.653	-0.653	0.482	0.541	-0.61	-0.738	0.168	-0.554	0.404	0.934	0.884	0.895	-0.815	1	-0.693	-0.634	-0.622	-0.262	0.202
TDenXil	0.68	0.699	0.646	-0.571	-0.757	0.35	0.262	-0.205	0.738	0.196	-0.47	-0.526	-0.615	0.802	-0.693	1	0.681	0.339	0.873	0.49
RDxil	0.103	0.057	0.01	0.15	-0.065	-0.195	-0.052	-0.829	0.047	-0.477	-0.689	-0.205	-0.255	0.295	-0.634	0.681	1	-0.187	0.558	0.473
RDenXil	0.918	0.885	0.919	-0.886	-0.774	0.999	0.951	0.667	0.801	0.154	-0.413	-0.914	-0.902	0.833	-0.622	0.339	-0.187	1	-0.039	-0.579
EstDen	0.353	0.43	0.356	-0.358	-0.583	-0.017	-0.198	-0.262	0.548	0.463	-0.034	-0.071	-0.182	0.48	-0.262	0.873	0.558	-0.039	1	0.831
EstSize	-0.224	-0.132	-0.21	0.17	-0.065	-0.559	-0.708	-0.506	0.02	0.378	0.29	0.483	0.384	-0.088	0.202	0.49	0.473	-0.579	0.831	1
