	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.815	0.658	-0.188	0.573	0.602	0.62	0.413	-0.188	0.309	-0.369	-0.2	-0.049	-0.233	0.814	-0.73	-0.826	-0.866	0.399	-0.676
gs	0.815	1	0.88	-0.637	0.593	0.671	0.746	0.588	-0.118	0.425	-0.239	-0.188	-0.121	-0.146	0.39	-0.26	-0.661	-0.704	-0.142	-0.181
E	0.658	0.88	1	-0.66	0.535	0.629	0.816	0.777	-0.067	0.527	-0.005	0.139	0.108	0.003	0.153	-0.036	-0.746	-0.352	-0.211	0.012
WUEi	-0.188	-0.637	-0.66	1	-0.515	-0.663	-0.516	-0.483	-0.024	-0.355	0.012	0.006	0.092	-0.047	0.384	-0.508	0.144	0.097	0.783	-0.575
Ymd	0.573	0.593	0.535	-0.515	1	0.863	0.74	0.586	-0.602	0.44	-0.235	0.285	0.024	0.267	-0.141	0.23	0.42	-0.445	-0.624	0.32
Ypd	0.602	0.671	0.629	-0.663	0.863	1	0.597	0.483	-0.116	0.46	-0.166	-0.252	0.07	-0.232	0.885	-0.823	-0.87	-0.818	0.562	-0.786
Kroot	0.62	0.746	0.816	-0.516	0.74	0.597	1	0.889	-0.51	0.552	-0.069	0.391	0.042	0.314	-0.207	0.341	-0.073	-0.358	-0.729	0.43
Kplant	0.413	0.588	0.777	-0.483	0.586	0.483	0.889	1	-0.389	0.623	0.353	0.574	0.232	0.29	-0.695	0.784	0.383	0.151	-0.984	0.843
DifY	-0.188	-0.118	-0.067	-0.024	-0.602	-0.116	-0.51	-0.389	1	-0.139	0.199	-0.315	-0.013	-0.294	0.456	-0.512	-0.701	0.096	0.769	-0.58
Hojas	0.309	0.425	0.527	-0.355	0.44	0.46	0.552	0.623	-0.139	1	0.224	0.275	-0.202	0.336	-0.993	0.992	0.682	0.738	-0.859	0.984
Afoliar	-0.369	-0.239	-0.005	0.012	-0.235	-0.166	-0.069	0.353	0.199	0.224	1	0.509	0.344	0.095	-0.967	0.933	0.799	0.809	-0.724	0.909
BioPoda	-0.2	-0.188	0.139	0.006	0.285	-0.252	0.391	0.574	-0.315	0.275	0.509	1	0.324	0.576	-0.948	0.894	0.696	0.925	-0.591	0.849
BioRaiz	-0.049	-0.121	0.108	0.092	0.024	0.07	0.042	0.232	-0.013	-0.202	0.344	0.324	1	-0.555	-0.276	0.147	0.211	0.778	0.342	0.046
CoBio	-0.233	-0.146	0.003	-0.047	0.267	-0.232	0.314	0.29	-0.294	0.336	0.095	0.576	-0.555	1	-0.929	0.965	0.618	0.532	-0.966	0.986
TDxil	0.814	0.39	0.153	0.384	-0.141	0.885	-0.207	-0.695	0.456	-0.993	-0.967	-0.948	-0.276	-0.929	1	-0.99	-0.634	-0.807	0.809	-0.972
TDenXil	-0.73	-0.26	-0.036	-0.508	0.23	-0.823	0.341	0.784	-0.512	0.992	0.933	0.894	0.147	0.965	-0.99	1	0.584	0.73	-0.878	0.995
RDxil	-0.826	-0.661	-0.746	0.144	0.42	-0.87	-0.073	0.383	-0.701	0.682	0.799	0.696	0.211	0.618	-0.634	0.584	1	0.442	-0.487	0.578
RDenXil	-0.866	-0.704	-0.352	0.097	-0.445	-0.818	-0.358	0.151	0.096	0.738	0.809	0.925	0.778	0.532	-0.807	0.73	0.442	1	-0.314	0.656
EstDen	0.399	-0.142	-0.211	0.783	-0.624	0.562	-0.729	-0.984	0.769	-0.859	-0.724	-0.591	0.342	-0.966	0.809	-0.878	-0.487	-0.314	1	-0.922
EstSize	-0.676	-0.181	0.012	-0.575	0.32	-0.786	0.43	0.843	-0.58	0.984	0.909	0.849	0.046	0.986	-0.972	0.995	0.578	0.656	-0.922	1
