"Vinifera","Portainjerto","Combinacion","mean_WUEi","mean_Indice","mean_AN","mean_gs","n_obs"
"G15","110R","G15 - 110R",71.8609923533333,226.982608077652,11.0653681637619,0.181961483229334,39
"G15","140Ru","G15 - 140Ru",77.8488244565854,196.480704864848,11.7209290465958,0.179782930509423,41
"G15","RG8","G15 - RG8",66.0868738441026,167.351448755415,12.0868776393623,0.208461885190932,39
"G15","SO4","G15 - SO4",79.250999312,212.408265940682,10.2137624706747,0.157375615047262,40
"G435","110R","G435 - 110R",69.55176752575,145.997469614772,10.7335524944776,0.177004477757662,40
"G435","140Ru","G435 - 140Ru",75.247650188,206.841324241731,11.1003408676506,0.177811184080287,40
"G435","RG8","G435 - RG8",73.4479144517143,175.184503580239,12.5672813000493,0.205264900368425,35
"G435","SO4","G435 - SO4",77.4579888515385,168.596427371977,10.9779636662597,0.172192182043319,39
"T1052","110R","T1052 - 110R",82.0822149847619,160.432800538436,10.6739716987053,0.15017117953847,42
"T1052","140Ru","T1052 - 140Ru",77.1521036678571,179.911011779842,10.336890289129,0.154413257829037,42
"T1052","RG8","T1052 - RG8",65.7743260319512,137.896689063314,10.4868602156206,0.178440359420015,41
"T1052","SO4","T1052 - SO4",71.1281565925,165.292161654308,10.1999825891799,0.158725161200207,40
"T232","110R","T232 - 110R",70.4841862609524,147.305135698058,10.5541922208729,0.171501827149286,42
"T232","140Ru","T232 - 140Ru",68.7731245012195,179.085473890492,10.4972317088848,0.181002494556119,41
"T232","RG8","T232 - RG8",69.3115480985714,186.967148828232,10.4836653464845,0.180898822698683,42
"T232","SO4","T232 - SO4",69.1923592748718,160.000400637671,10.2148771282591,0.165551234951907,39
